"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDL152W",0.155509339301668,-1.2726744033413,4.0804728567969,-0.311893853483521,0.755121193883532,NA
"YDL159W-A",0.68706722435652,1.21963152670531,2.54111188669271,0.479959789685873,0.631255985457674,NA
"YDL162C",0.821595479259202,0.267055071615099,2.173622700715,0.122861742071084,0.902216581443571,NA
"YDL187C",1.69681960497987,0.188178948079711,1.52069217645232,0.123745588353536,0.901516714751323,NA
"YDL240C-A",1.88819614922715,0.203754106803491,1.36028204723183,0.149788131967286,0.880931773033976,NA
"YDR014W-A",6.54596656423848,1.38244410248862,0.816555402851168,1.69301935626357,0.0904517828958129,NA
"YDR048C",0.754026632260376,1.58719351359452,2.43682178926543,0.651337541623416,0.514828619383921,NA
"YDR053W",1.28558451731523,2.41526546675284,1.9236989962551,1.25553190569558,0.209285733258832,NA
"YDR095C",4.09058951164104,-0.161764279991078,0.917686654160213,-0.176273981165292,0.860078701972261,NA
"YDR114C",4.32410350675616,-0.161409159493799,1.01794688623242,-0.158563439484745,0.874012835363249,NA
"YDR118W-A",5.7896451387593,0.698095127174232,0.786076357039007,0.888075466108429,0.374500158670288,NA
"YDR169C-A",7.31999623887407,-0.559753065277125,0.697099569798882,-0.802974337566465,0.421989567389504,NA
"YDR193W",2.00373283586018,-0.80095898109963,1.35075960729007,-0.592969301700199,0.553201696904356,NA
"YDR203W",1.34967945711607,0.155331336308324,1.84224283609224,0.0843164284670597,0.932804850885803,NA
"YDR220C",7.51886525769752,0.291549793840556,0.806410947039094,0.361539975258324,0.717695827023474,NA
"YDR269C",0.501744675455926,-1.12462488055984,2.79166090878655,-0.40285153437517,0.687057447037471,NA
"YDR271C",0.288758600845033,1.5061605684963,3.80768312910334,0.395558274527686,0.692430923685104,NA
"YDR278C",0.279249705170016,1.4637240644761,4.04552512143308,0.361813119567923,0.717491687449857,NA
"YDR290W",0.495369084414282,0.620463255280014,2.80963129476597,0.22083440501103,0.825221373525303,NA
"YDR320W-B",2.00851505405828,-1.23452448319901,1.48020887986113,-0.834020454812321,0.404269457444309,NA
"YDR340W",5.65981344569407,0.0991240246553598,0.812827759634842,0.121949605534991,0.902938929234801,NA
"YDR374C",2.90500478392629,1.24791543278042,1.34156147421457,0.930196235331688,0.35226949074191,NA
"YDR401W",0.457901290414395,2.1596537426872,3.23663647299711,0.667252489028332,0.504610868622799,NA
"YDR413C",0.811095433624881,0.241063366648896,2.41553084721471,0.0997972627535929,0.92050528120928,NA
"YDR426C",1.85131515079709,1.36604051575372,1.55347699083541,0.879343900046506,0.37921483983254,NA
"YDR431W",1.07771015469724,-1.35970792065787,2.0086392018117,-0.676929893348429,0.498450436408378,NA
"YDR442W",5.27681720165447,0.905911617737799,0.869203028089884,1.04223246866567,0.297303913081055,NA
"YDR445C",0.299258646479354,1.54938223728125,3.76414252708259,0.411616251545635,0.680620717950455,NA
"YDR446W",2.2572331287595,0.437732966379568,1.58605478479482,0.275988553848218,0.782556857649319,NA
"YDR455C",1.64228978346434,-1.49630149768727,1.56137528368108,-0.958322776930098,0.337900021870083,NA
"YDR509W",0.657254014757594,-1.6721422830429,2.55071698224723,-0.655557748931329,0.512108718169248,NA
"YDR521W",1.15190109874676,2.33523580781299,2.19325322094135,1.06473606673227,0.286995383947126,NA
"YDR524C-A",3.61635804272956,2.54698641344611,1.20560970471072,2.11261273320393,0.0346339279745363,NA
"YDR525W",2.99729024284172,1.15904542452428,1.15298214080433,1.00525878372732,0.314772256068442,NA
"YDR526C",2.36556481533109,-0.305708901530824,1.32264240026271,-0.231134962458563,0.817209954288653,NA
"YDR537C",4.49209519161076,-0.256739790946685,0.939649561350855,-0.273229298992692,0.784676959194506,NA
"YDR543C",0.437331776615607,-2.37968985445091,3.97831953439131,-0.598164585292671,0.549730119263749,NA
"YDR544C",2.34927239466971,0.0196411317239495,1.37288092544622,0.0143065078404856,0.988585447657536,NA
"YEL009C-A",1.26683556249555,0.460170031585006,1.67603878837987,0.274558103771469,0.783655758001019,NA
"YEL010W",0.46015242686336,-1.0137552393314,3.29855830069868,-0.307332824499927,0.758590053524366,NA
"YEL018C-A",0.155509339301668,-1.2726744033413,4.0804728567969,-0.311893853483521,0.755121193883532,NA
"YEL020C-B",3.12340515935539,-0.950373834717537,1.15145453551221,-0.825368093491223,0.409162643565605,NA
"YEL030C-A",0.678818315171164,-1.7346445937072,2.53648734971831,-0.683876698182564,0.494053029347797,NA
"YEL053W-A",4.53170514028471,-0.266506081981508,0.895716636584669,-0.297533919876363,0.766058915537099,NA
"YEL076C",5.99697046364317,-0.336290759367426,0.840154912470836,-0.400272324038931,0.688955950081806,NA
"YER006C-A",6.68698660816843,0.425429537711075,0.768746734048788,0.553406627785524,0.579985001538637,NA
"YER038W-A",0.437892349105057,2.1042369348255,3.27820559643416,0.641886810611992,0.520946678589157,NA
"YER046W-A",2.18577144795771,2.29297172763382,1.60053047061929,1.4326323489153,0.151962932029147,NA
"YER053C-A",4.76530990830375,0.182946167994033,0.874240609705218,0.209262948853085,0.834242973951506,NA
"YER068C-A",2.40357417495077,0.317528317803253,1.17634018194332,0.269928990505701,0.78721488352968,NA
"YER078W-A",3.97917727960069,0.563456557752604,0.94351928646642,0.597186052086766,0.550383170409318,NA
"YER079C-A",0.304643087561692,-0.310904410013264,3.77912728590251,-0.0822688378803878,0.934432934165448,NA
"YER084W-A",1.41215923564713,1.39877946547905,1.75934064907619,0.795058913811563,0.426579232907324,NA
"YER085C",0.378299682202149,-0.310906618306054,3.51132435630331,-0.0885439756506497,0.929444334053886,NA
"YER091C-A",0.804136626568653,1.62358942895936,2.401113635423,0.676181837047181,0.498925202839685,NA
"YER097W",7.85973848329074,-0.583426488583912,0.78422983950746,-0.743948341662613,0.456907727982954,NA
"YER106W",6.48410532719716,0.373365352405406,0.784303619373953,0.476046958323912,0.634040923950125,NA
"YER137W-A",0.733026540991733,1.54703150325825,2.44890300200732,0.631724287156402,0.527567054937745,NA
"YER148W-A",2.02557708157392,0.624409839591237,1.68890984379806,0.369711765186382,0.711597264639012,NA
"YER152W-A",0.950137070195304,0.765604677325898,1.90924772741622,0.400998082298094,0.688421535809546,NA
"YER165C-A",2.96463878822016,-0.915037106147246,1.15524565165266,-0.79207145669687,0.428319012127613,NA
"YER181C",3.48634717503538,-0.495797157794986,1.10324034946887,-0.449400856335319,0.653142513685005,NA
"YFL013W-A",8.05978930435755,0.503034398570327,0.783223963992496,0.642261245437514,0.520703572756868,NA
"YFL015W-A",0.304643087561692,-0.310904410013264,3.77912728590251,-0.0822688378803878,0.934432934165448,NA
